interpretation_id,creature_id,source_id,source_term,archetype_id,narrative_function_id,additional_part,removed_part,additional_ability,removed_ability,diet and habitat,divergence,citation_id,textual_reference
int_sphinx_moureau,creature_sphinx,source_oedipus_moureau,,archetype_seduction,,part_wings,,,,,la colonna divergence verrà eliminata,,la colonna textual_reference verrà eliminata -> testi da inserire in citation
int_sphinx_flaubert,creature_sphinx,source_tentazione_antonio,,archetype_wisdom,,,,,,,,citation_flaubert_1,
int_sphinx_apollodoro,creature_sphinx,source_mito_edipo,,"archetype_divine_punishment, archetype_enigma",,part_wings,,ability_posing_riddles,,,,citation_apollodoro_1,
int_sphinx_ingres,creature_sphinx,source_oedipus_ingres,,archetype_seduction,,part_wings,,,,,,,
int_sphinx_egypt,creature_sphinx,source_great_sphinx,,"archetype_strength, archetype_wisdom, archetype_protection",,,,,,,,,
int_sphinx_plinio,creature_sphinx,source_naturalis_historia,,archetype_exotic_marvel,,,,,,,,citation_plinio_1,
int_sphinx_maier,creature_sphinx,source_atalanta_fugiens,,archetype_enigma,,part_wings,,ability_posing_riddles,,,,citation_maier_1,
int_sphinx_rowling_fantastic,creature_sphinx,source_fantastic_beasts,,,function_guardian,,,ability_posing_riddles,,,,citation_rowling_4,
int_sphinx_rowling_harry,creature_sphinx,source_harry_potter_book_4,,,function_guardian,part_wings,,ability_posing_riddles,,,,citation_rowling_1,
int_sphinx_ende,creature_sphinx,source_unendliche_geschichte,,,function_guardian,part_wings,,"ability_posing_riddles, ability_lethal_gaze",,,,citation_ende_1,
int_siren_anonymous,creature_siren,source_liber_monstrorum,demon,archetype_seduction,,,,,,,,citation_anonymous,"""Le Sirene sono fanciulle marine [marinae puellae] che seducono i marinai con la bellezza del corpo e la dolcezza del canto. Dalla testa fino all’ombelico hanno aspetto di vergine, del tutto simili a creature umane. Hanno però code squamose di pesce, che nascondono sempre sott’acqua. (Liber monstrorum, Anonymous)"""
int_siren_omero,creature_siren,source_odissea_omero,,archetype_seduction,,"part_bird_wings, part_bird_limbs",part_fish_tail,ability_fly,,,"""The physical aspect of sirens is not described in the ""Odyssey"" because Homer expected his listener to know the conformation of their body from earlier oral tradition, such as the myth of the Argonauts. In this tradition, sirens have the body of a woman but wings and limbs of a bird""",citation_omero_1,"""Tu arriverai, prima, dalle Sirene, che tutti / gli uomini incantano, chi arriva da loro. / A colui che ignaro s'accosta e ascolta la voce / delle Sirene, mai più la moglie e i figli bambini / gli sono vicini, felici che a casa è tornato, /  ma le Sirene lo incantano con limpido canto, / adagiate sul prato: intorno è un mucchio di ossa / di uomini putridi, con la pelle che raggrinza (Odissea, Omero, Libro XII, 39-46)"""
int_siren_ovidius,creature_siren,source_ovidius_metamorphoses,,archetype_mourner,,"part_bird_wings, part_bird_limbs",part_fish_tail,ability_fly,,,"""Ovidius describes sirens as hybrid creatures with the upper body of a woman but with bird's wings and limbs. Sirens are portrayed as melanchonic creatures desperately seeking their friend Proserpina, to whom the gods gave wings so they could fly above the sea to find her.""",citation_ovid_met_3,"""Lui certo può essersi meritato il castigo parlando / troppo e facendo la spia; ma voi, figlie / dell'Acheloo, da dove vengono / piume e zampe d'uccelli, quando avete volto di / donna? / Forse perché Proserpina coglieva i fiori / primaverili, eravate nel numero delle sue / compagne, /
dotte Sirene? Dopo che inutilmente l'avete cercata / per tutto il mondo, /
avete desiderato, perché il mare sentisse la vostra / pena / di potervi fermare sulle onde col remeggio delle ali, / e avendo il consenso degli dèi, avete visto /
improvvisamente i vostri arti fiorire di penne; /
ma perché il vostro canto, nato a blandire le / orecchie, e il tesoro della vostra bocca non perdesse l'uso /
della lingua, vi restò volto di vergini e voce / umana (Metamorfosi, Ovidio, Libro V, 555-563)"""
int_siren_andersen,creature_siren,source_andersen,,archetype_innocent,,,,,,,"""The transition from the term 'siren' to 'mermaid' comes with a change in the creature's character nature. Here the mermaid is described as a beautiful little girl with a fish's tail. In this context, the creature is no longer an evil temptress that harms sailors but an innocent girl who is willing to sacrifice her voice in order to be able to live on the mainland, marrying the man she fell in love with.""",citation_andersen,"""They were six beautiful children; but the youngest was the prettiest of them all; her skin was as clear and delicate as a rose-leaf, and her eyes as blue as the deepest sea; but, like all the others, she had no feet, and her body ended in a fish's tail. (The little mermaid, Hans Christian Andersen)"" "
int_siren_musker_clements,creature_siren,source_musker_clements,,archetype_innocent,,,,,,,"""Ariel, the main character of the animated movie, is inspired by the tale written by Hans Christian Andersen ""Den lille Havfrue"", therefore her physical and character traits are based on the description of the literary work.""",,
int_siren_vase,creature_siren,source_vase,,,,"part_bird_wings, part_bird_limbs",part_fish_tail,ability_fly,,,"""The Sirens are represented as birds with woman's heads, their hair looped up with a dotted stephane, a single tress hanging beside the ear (parotis): their lips are parted as though singing.""",,
int_minotaur_ovidius,creature_minotaur,source_ovidius_metamorphoses,,,,,,,,,,citation_ovid_met_1; citation_ovid_met_2,"“L’essere che era il disonore della stirpe era già divenuto adulto e il turpe adulterio della madre diveniva evidente a causa della singolarità del mostro biforme (Metamorfosi, Ovidio, Libro VIII 155+) ” / ""il mostro mezzo toro e mezzo giovane (Metamorfosi, Ovidio, Libro VIII 155+)"""
int_minotaur_dante,creature_minotaur,source_dante_inferno,,archetype_guardian_hell,,,,,,,,citation_dante_inferno_1,"""e ’n su la punta de la rotta lacca / l’infamia di Creti era distesa / che fu concetta ne la falsa vacca; / e quando vide noi, sé stesso morse, / sì come quei cui l’ira dentro fiacca. (Dante, Inf. XII, 11-14) """
int_minotaur_gospodinov,creature_minotaur,source_gospodinov_fisica_della_malinconia,,archetype_abandoned_child,,,,,,,,citation_gospodinov_1,
int_satyr_esiodo,creature_satyr,source_frammenti_esiodo,,archetype_natural_man,,,,,,,,citation_frammenti_esiodo,
int_satyr_nietzsche,creature_satyr,source_nietzsche_ndt,,archetype_natural_man,,,,,,,,citation_nietzsche_ndt,
int_satyr_statue,creature_satyr,source_satyr_statue,,,,,part_two_horns,ability_play_foot_castanet,,,"""The statue portrayes a young man caught dancing while playing a foot castanet. His body does not include goat or horse parts, distancing it from the typical representation of the satyr as an hybrid creature.""",,
int_satyr_aldrovandi,creature_satyr,source_monstrorum_historia_aldrovandi,,archetype_natural_man,,,,,,,,citation_aldrovandi_1,"""Satyrs, Tritons, Nymphs, Nereids, and Sirens are also deservedly placed by many in the category of wild men."""
int_satyr_pliny,creature_satyr,source_naturalis_historia,,archetype_natural_man,,,,,,,,citation_plinio_2,
int_hippogriff_ariosto,creature_hippogriff,source_orlando_furioso,,,,,,,,,,citation_ariosto_1,
int_hippogriff_ingres,creature_hippogriff,source_roger_délivrant_angélique,,,,,,,,,,,
int_hippogriff_bierce,creature_hippogriff,source_devil_dictionary,,,,,,,,,,citation_bierce_1,
int_hippogriff_rowling_harry,creature_hippogriff,source_harry_potter_book_3,,,,,,,,,,citation_rowling_2,
int_hippogriff_rowling_fantastic,creature_hippogriff,source_fantastic_beasts,,,,,,,,,,citation_rowling_5,
int_hippogriff_doré,creature_hippogriff,source_orlando_furioso_doré,,,,,,,,,,,
int_giant_bible,creature_giant,source_bible,,,,,,,,,,citation_bible_1,
int_giant_apollodorus,creature_giant,source_biblioteca,,archetype_chaos,,part_scales_dragon,part_feet,ability_immortality,,,,citation_apollodorus_1,
int_giant_teogonia,creature_giant,source_teogonia,,,,,,,,,,citation_esiodo_1,
int_giant_attack_on_titan,creature_giant,source_attack_on_titan,,archetype_chaos,,part_multiple_dentition,"part_genitals, part_digestive_system, part_skin","ability_speed, ability_agility, ability_regenerate_lost_limbs",,,,,
int_giant_ovidius,creature_giant,source_ovidius_metamorphoses,,archetype_chaos,,,,,,,,citation_ovid_met_4,
int_giant_camera_dei_giganti,creature_giant,source_camera_giganti,,archetype_chaos,,,,,,,,,
int_hermaphrodite_plato,creature_hermaphrodite,source_symposium,,archetype_androgynous,,"part_four_hands, part_four_feet, part_two_faces, part_four_ears, part_two_genitals",,,,,,citation_symposium_plato,
int_hermaphrodite_ovidius,creature_hermaphrodite,source_ovidius_metamorphoses,,archetype_emasculation,,,part_masculinity,,,,,citation_ovid_met_5,
int_hermaphrodite_statue,creature_hermaphrodite,source_hermafrodite_statue,,archetype_emasculation,,,part_masculinity,,,,,citation_aldrovandi_2,
int_hermaphrodite_aldrovandi,creature_hermaphrodite,source_monstrorum_historia_aldrovandi,,,,"part_female_genitals, part_breasts",,,,,,,
int_hermaphrodite_swinburne,creature_hermaphrodite,source_poem_hermaphroditus,,"archetype_emasculation, archetype_divine_punishment",,,part_masculinity,,,,,citation_poem_hermaphroditus,
int_unicorn_ctesias,creature_unicorn,source_indika,,,,,,,,,,citation_ctesias,
int_unicorn_cantimpre,creature_unicorn,source_liber_de_natura_rerum,,archetype_purity,function_sacred_symbol,,,,,,,citation_cantimpre_1,
int_unicorn_isidor,creature_unicorn,source_etymologies,,archetype_purity,function_sacred_symbol,,,,,,,citation_isidor_unicorn,
int_unicorn_aberdeen,creature_unicorn,source_aberdeen_bestiary,,archetype_purity,,,,,,,,citation_aberdeen_4,
int_ogre_chretien,creature_ogre,source_percival,,archetype_raw_instinct,,,,,,,,citation_chretien_ogre,
int_ogre_ariosto,creature_ogre,source_orlando_furioso,,archetype_raw_instinct,,sea_monster ,,,,,,citation_ariosto_2,
